SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,South Carolina,37,35,2,94.60%,70.9,50.7,20.2,103.5,74.1,29.4,68.2
2021-22,NC State,36,32,4,88.90%,77.3,58.4,18.8,110.4,82.8,27.7,69.3
2021-22,Stanford,36,32,4,88.90%,73.5,56.8,16.7,105.9,81.6,24.4,69.5
2021-22,UConn,36,30,6,83.30%,73.8,54.9,18.9,105.9,79.6,26.3,68.9
2021-22,Texas,36,29,7,80.60%,71.9,56.8,15.1,101.2,80.6,20.6,70
2021-22,Toledo,35,29,6,82.90%,72.4,61.1,11.3,103.9,87.5,16.3,69.2
2021-22,Louisville,34,29,5,85.30%,71.8,55.6,16.1,103.6,79.9,23.7,69.2
2021-22,Baylor,35,28,7,80.00%,76.5,60.2,16.3,106.9,84.1,22.8,71.3
2021-22,Iowa St.,35,28,7,80.00%,76.4,63.7,12.6,108,90,18.1,70.5
2021-22,Drexel,34,28,6,82.40%,65.3,56.3,9,100.5,86.5,14,64.3
2021-22,South Dakota,34,28,6,82.40%,68.5,53.6,14.9,102.4,80.1,22.3,66.7
2021-22,South Dakota St.,37,28,9,75.70%,74.4,58.8,15.6,109.2,86.3,22.9,68.1
2021-22,Middle Tenn.,35,27,8,77.10%,68.4,57.7,10.8,99.2,83.1,16.1,67.9
2021-22,Gonzaga,34,27,7,79.40%,69,56.1,12.9,104.4,84.5,19.9,66.2
2021-22,FGCU,30,27,3,90.00%,76.5,60.8,15.7,104.9,84,20.9,72
2021-22,UCF,30,26,4,86.70%,60.5,47.8,12.7,92.4,73.2,19.2,65.4
2021-22,UNLV,33,26,7,78.80%,75.3,64.7,10.6,104.7,89.8,14.9,72
2021-22,Massachusetts,33,26,7,78.80%,71.7,61.6,10.1,103.3,88.1,15.2,69.5
2021-22,LSU,32,26,6,81.30%,73.7,61.6,12.1,99.8,83.6,16.2,73.5
2021-22,SFA,31,26,5,83.90%,72.3,56.7,15.6,98.5,77.3,21.2,73.3
2021-22,BYU,30,26,4,86.70%,77.1,58.3,18.8,109,82.7,26.3,70.3
2021-22,Dayton,32,26,6,81.30%,65.8,55.3,10.6,96.3,80.7,15.6,68.1
2021-22,Fairfield,32,25,7,78.10%,64.7,57,7.7,97.2,85.8,11.4,65.9
2021-22,Michigan,32,25,7,78.10%,71.5,60.4,11.1,101.6,85.6,15.9,69.4
2021-22,Tennessee,34,25,9,73.50%,70.1,61.1,9,95,83.7,11.2,72.8
2021-22,Liberty,30,25,5,83.30%,64.1,54,10.1,98,82.4,15.6,64.9
2021-22,Ohio St.,32,25,7,78.10%,78.2,65.6,12.6,104.5,87.6,16.8,74.8
2021-22,Oklahoma,34,25,9,73.50%,82.6,76.9,5.7,99.8,93.5,6.2,81.6
2021-22,Princeton,30,25,5,83.30%,68.3,51.5,16.8,99.4,74.7,24.7,68.5
2021-22,New Mexico,35,25,10,71.40%,76,68.4,7.6,103.2,92.9,10.3,73.7
2021-22,North Carolina,32,25,7,78.10%,73.1,55.8,17.3,99.5,76.3,23.2,73
2021-22,Buffalo,34,25,9,73.50%,75.8,66.6,9.2,101.4,88.8,12.6,74.4
2021-22,Columbia,32,25,7,78.10%,68.6,62,6.7,93.9,85.5,8.3,72.2
2021-22,South Fla.,33,24,9,72.70%,60.8,54.5,6.4,93.2,83.4,9.8,65.1
2021-22,Missouri St.,32,24,8,75.00%,64.3,54.8,9.5,92.8,79.7,13.1,69
2021-22,IUPUI,29,24,5,82.80%,70.5,56.4,14,102.8,83.1,19.8,67.7
2021-22,Indiana,33,24,9,72.70%,71.3,61.8,9.5,100,86.9,13.1,70.6
2021-22,Iowa,32,24,8,75.00%,84.2,70.2,14,111,92.8,18.2,75.5
2021-22,Bucknell,34,24,10,70.60%,62.6,54.9,7.7,92.7,80.4,12.3,67.4
2021-22,Nebraska,33,24,9,72.70%,77.8,64.3,13.5,106.6,88.3,18.3,72.9
2021-22,Notre Dame,33,24,9,72.70%,74.3,63.3,11,100.9,85.9,15,73.1
2021-22,Villanova,33,24,9,72.70%,64.9,60.9,4.1,95.6,89.8,5.9,67.6
2021-22,Virginia Tech,33,23,10,69.70%,70.8,58.4,12.4,104.1,85.9,18.1,67.7
2021-22,California Baptist,32,23,9,71.90%,75.6,69.2,6.4,97.3,88.2,9.1,77.2
2021-22,Marquette,34,23,11,67.60%,67.1,60.4,6.7,96.3,86,10.3,69.2
2021-22,Maryland,32,23,9,71.90%,78.8,67.2,11.6,108.3,92.5,15.8,72.4
2021-22,Mercer,30,23,7,76.70%,64.4,56.9,7.5,92,80.9,11.1,69.9
2021-22,Seton Hall,36,23,13,63.90%,68.9,68.4,0.5,96.2,95.3,0.9,71
2021-22,Old Dominion,33,23,10,69.70%,63.6,56.6,7,91.7,81.8,9.9,69.3
2021-22,Ole Miss,32,23,9,71.90%,66.9,56.6,10.4,95.7,81.6,14.1,69.6
2021-22,Jackson St.,30,23,7,76.70%,79.5,62.6,16.9,104.2,82.3,21.9,76.2
2021-22,Creighton,33,23,10,69.70%,74.1,64.4,9.7,107.5,93.1,14.4,68.5
2021-22,Delaware,31,23,8,74.20%,71.5,64.4,7.1,97.7,88.1,9.6,72.9
2021-22,Stony Brook,29,23,6,79.30%,67.4,56.5,10.9,96.4,81.7,14.8,69.5
2021-22,American,32,23,9,71.90%,59.4,56.6,2.8,87.3,83.5,3.9,67.4
2021-22,Belmont,31,23,8,74.20%,69.5,56.5,13.1,103,83.5,19.5,67
2021-22,Albany (NY),32,22,10,68.80%,56.2,50,6.1,89.1,79.8,9.3,62.9
2021-22,DePaul,33,22,11,66.70%,87.3,78.6,8.8,108.3,97.6,10.8,79.7
2021-22,UNI,33,22,11,66.70%,67.8,59.2,8.6,98.8,85.7,13.1,68.9
2021-22,Jacksonville St.,30,22,8,73.30%,64.6,59.5,5.1,93.2,85,8.2,69.7
2021-22,Longwood,34,22,12,64.70%,71.5,68.1,3.4,95.3,91.3,4,74.9
2021-22,Rhode Island,29,22,7,75.90%,63.3,52.8,10.6,95.9,80.1,15.8,65.9
2021-22,Towson,30,22,8,73.30%,71.9,61.7,10.3,97,83,14.1,74.2
2021-22,Troy,31,22,9,71.00%,77.3,68.7,8.5,93.6,83.3,10.4,82.5
2021-22,Charlotte,32,22,10,68.80%,63.2,59,4.3,90.2,84.9,5.3,68.2
2021-22,Colorado,31,22,9,71.00%,65.6,57.7,7.9,96.2,84,12.2,67.2
2021-22,Manhattan,32,21,11,65.60%,66.2,61.3,4.9,90.7,84,6.7,72.3
2021-22,Miami (FL),34,21,13,61.80%,60.9,58.4,2.5,88.5,84.3,4.3,69
